target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_total_excited_probability,experiment_minus_simulation
2.5,2.520252178462184,0.25,0.514,0.4795327479098609,0.03446725209013912
2.5,2.520252178462184,0.255,0.522,0.4810868501478404,0.0409131498521596
2.5,2.520252178462184,0.26,0.552,0.47998304734389013,0.07201695265610991
2.5,2.520252178462184,0.265,0.518,0.47882387151823297,0.03917612848176705
2.5,2.520252178462184,0.27,0.533,0.4776646956925758,0.05533530430742423
2.5,2.520252178462184,0.275,0.505,0.47650551986691864,0.028494480133081368
2.5,2.520252178462184,0.28,0.494,0.4753435829071751,0.018656417092824895
2.5,2.520252178462184,0.285,0.51,0.47418133218219444,0.03581866781780557
2.5,2.520252178462184,0.29,0.522,0.47301908145721383,0.04898091854278619
2.5,2.520252178462184,0.295,0.522,0.47185683073223317,0.05014316926776685
2.5,2.520252178462184,0.3,0.54,0.4724829016009659,0.06751709839903414
2.5,2.520252178462184,0.305,0.519,0.47351134482828405,0.045488655171715964
2.5,2.520252178462184,0.31,0.534,0.47453978805560226,0.05946021194439777
2.5,2.520252178462184,0.315,0.52,0.4755682312829205,0.044431768717079545
2.5,2.520252178462184,0.32,0.521,0.4773555947521178,0.04364440524788221
2.5,2.520252178462184,0.325,0.509,0.47941701275310483,0.029582987246895176
2.5,2.520252178462184,0.33,0.539,0.4814784307540919,0.05752156924590812
2.5,2.520252178462184,0.335,0.529,0.48353984875507894,0.04546015124492109
2.5,2.520252178462184,0.34,0.54,0.4846193101931202,0.055380689806879824
2.5,2.520252178462184,0.345,0.526,0.48517710720709656,0.040822892792903465
2.5,2.520252178462184,0.35,0.537,0.4857349042210729,0.05126509577892713
2.5,2.520252178462184,0.355,0.511,0.4862927012350493,0.024707298764950703
2.5,2.520252178462184,0.36,0.532,0.4858289359729107,0.046171064027089315
2.5,2.520252178462184,0.365,0.526,0.48459899900368597,0.04140100099631405
2.5,2.520252178462184,0.37,0.511,0.48336906203446117,0.027630937965538838
2.5,2.520252178462184,0.375,0.537,0.48213912506523643,0.054860874934763604
2.5,2.520252178462184,0.38,0.532,0.48107716041404475,0.05092283958595528
2.5,2.520252178462184,0.385,0.518,0.4801901669274709,0.03780983307252911
2.5,2.520252178462184,0.39,0.519,0.47930317344089707,0.03969682655910295
2.5,2.520252178462184,0.395,0.533,0.47841617995432323,0.0545838200456768
2.5,2.520252178462184,0.4,0.532,0.4782256099856602,0.05377439001433981
2.5,2.520252178462184,0.405,0.504,0.4790448541179679,0.024955145882032126
2.5,2.520252178462184,0.41,0.509,0.47986409825027554,0.02913590174972447
2.5,2.520252178462184,0.415,0.529,0.48068334238258315,0.04831665761741688
2.5,2.520252178462184,0.42,0.504,0.48167715441117426,0.022322845588825746
2.5,2.520252178462184,0.425,0.527,0.48303101272585,0.04396898727415005
2.5,2.520252178462184,0.43,0.524,0.4843848710405257,0.03961512895947433
2.5,2.520252178462184,0.435,0.521,0.4857387293552014,0.035261270644798615
2.5,2.520252178462184,0.44,0.505,0.4867651057342419,0.018234894265758084
2.5,2.520252178462184,0.445,0.529,0.486781746145074,0.042218253854926
2.5,2.520252178462184,0.45,0.547,0.4867983865559061,0.060201613444093915
2.5,2.520252178462184,0.455,0.525,0.48681502696673823,0.03818497303326179
2.5,2.520252178462184,0.46,0.501,0.48662790823659946,0.01437209176340054
2.5,2.520252178462184,0.465,0.503,0.485396523908985,0.01760347609101498
2.5,2.520252178462184,0.47,0.503,0.48416513958137064,0.018834860418629362
2.5,2.520252178462184,0.475,0.505,0.4829337552537562,0.0220662447462438
2.5,2.520252178462184,0.48,0.498,0.4817447355928119,0.016255264407188108
2.5,2.520252178462184,0.485,0.512,0.4810323184319066,0.03096768156809343
2.5,2.520252178462184,0.49,0.527,0.4803199012710012,0.04668009872899881
2.5,2.520252178462184,0.495,0.545,0.4796074841100959,0.06539251588990413
2.5,2.520252178462184,0.5,0.531,0.47889506694919054,0.05210493305080949
5.0,5.040504356924368,-0.5,0.654,0.6208317122509032,0.03316828774909686
5.0,5.040504356924368,-0.495,0.656,0.6209314920133481,0.03506850798665195
5.0,5.040504356924368,-0.49,0.675,0.621031271775793,0.05396872822420706
