series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_echo_experiment,10.0,,-0.07,0.566
current_echo_experiment,10.0,,-0.065,0.573
current_echo_experiment,10.0,,-0.06,0.583
current_echo_experiment,10.0,,-0.055,0.567
current_echo_experiment,10.0,,-0.05,0.566
current_echo_experiment,10.0,,-0.045,0.506
current_echo_experiment,10.0,,-0.04,0.519
current_echo_experiment,10.0,,-0.035,0.497
current_echo_experiment,10.0,,-0.03,0.479
current_echo_experiment,10.0,,-0.025,0.5
current_echo_experiment,10.0,,-0.02,0.466
current_echo_experiment,10.0,,-0.015,0.435
current_echo_experiment,10.0,,-0.01,0.441
current_echo_experiment,10.0,,-0.005,0.473
current_echo_experiment,10.0,,0.0,0.443
current_echo_experiment,10.0,,0.005,0.438
current_echo_experiment,10.0,,0.01,0.421
current_echo_experiment,10.0,,0.015,0.435
current_echo_experiment,10.0,,0.02,0.464
current_echo_experiment,10.0,,0.025,0.478
current_echo_experiment,10.0,,0.03,0.439
current_echo_experiment,10.0,,0.035,0.428
current_echo_experiment,10.0,,0.04,0.486
current_echo_experiment,10.0,,0.045,0.481
current_echo_experiment,10.0,,0.05,0.487
current_echo_experiment,10.0,,0.055,0.533
current_echo_experiment,10.0,,0.06,0.54
current_echo_experiment,10.0,,0.065,0.536
current_echo_experiment,10.0,,0.07,0.553
current_echo_experiment,10.0,,0.075,0.56
current_echo_experiment,10.0,,0.08,0.577
current_echo_experiment,10.0,,0.085,0.579
current_echo_experiment,10.0,,0.09,0.609
current_echo_experiment,10.0,,0.095,0.591
current_echo_experiment,10.0,,0.1,0.65
current_echo_experiment,10.0,,0.105,0.612
current_echo_experiment,10.0,,0.11,0.641
current_echo_experiment,10.0,,0.115,0.653
current_echo_experiment,10.0,,0.12,0.666
current_echo_experiment,10.0,,0.125,0.632
current_echo_experiment,10.0,,0.13,0.639
current_echo_experiment,10.0,,0.135,0.65
current_echo_experiment,10.0,,0.14,0.643
current_echo_experiment,10.0,,0.145,0.65
current_echo_experiment,10.0,,0.15,0.665
